target,year,coverage_value,coverage_type,coverage_area
Americas,2021,98.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Arab States,2021,89.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Asia-Pacific,2021,99.2,Population covered by at least an LTE/WiMAX mobile network (%),Urban
CIS,2021,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Europe,2021,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
World,2022,98.8,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Low-income,2022,87.7,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Lower-middle-income,2022,98.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Upper-middle-income,2022,99.8,Population covered by at least an LTE/WiMAX mobile network (%),Urban
High-income,2022,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Least Developed Countries (LDCs),2022,94.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2022,98.4,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Small Island Developing States (SIDS),2022,85.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Africa,2022,96.9,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Americas,2022,98.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Arab States,2022,96.9,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Asia-Pacific,2022,99.3,Population covered by at least an LTE/WiMAX mobile network (%),Urban
CIS,2022,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Europe,2022,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
World,2023,99.1,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Low-income,2023,90.8,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Lower-middle-income,2023,98.9,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Upper-middle-income,2023,99.8,Population covered by at least an LTE/WiMAX mobile network (%),Urban
High-income,2023,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Least Developed Countries (LDCs),2023,97.6,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2023,98.4,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Small Island Developing States (SIDS),2023,85.6,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Africa,2023,98.6,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Americas,2023,98.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Arab States,2023,98.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Asia-Pacific,2023,99.3,Population covered by at least an LTE/WiMAX mobile network (%),Urban
CIS,2023,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Europe,2023,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
World,2024,99.1,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Low-income,2024,91.2,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Lower-middle-income,2024,98.9,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Upper-middle-income,2024,99.8,Population covered by at least an LTE/WiMAX mobile network (%),Urban
High-income,2024,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Least Developed Countries (LDCs),2024,97.7,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2024,98.4,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Small Island Developing States (SIDS),2024,85.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Africa,2024,98.6,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Americas,2024,98.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Arab States,2024,98.5,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Asia-Pacific,2024,99.3,Population covered by at least an LTE/WiMAX mobile network (%),Urban
CIS,2024,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
Europe,2024,100.0,Population covered by at least an LTE/WiMAX mobile network (%),Urban
World,2015,19.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2015,0.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2015,3.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2015,40.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2015,64.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2015,7.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2015,2.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2015,12,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2015,0.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2015,34,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2015,1.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2015,22.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2015,5.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2015,52.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2016,43.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2016,1.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2016,36.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2016,62.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2016,70.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2016,8.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2016,4.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2016,12.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2016,1.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2016,36.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2016,3.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2016,57.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2016,7.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2016,66.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2017,57.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2017,2.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2017,56.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2017,73.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2017,76.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2017,10.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2017,7.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2017,26.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2017,3.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2017,39.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2017,21.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2017,76.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2017,12.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2017,77.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2018,64.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2018,3.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2018,66.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2018,80.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2018,79.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2018,20.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2018,14.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2018,31.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2018,8.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2018,47.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2018,39.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2018,84.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2018,14.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2018,83.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2019,68.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2019,6.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2019,71.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2019,84.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2019,88.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2019,23.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2019,14.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2019,35.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2019,14.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2019,53.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2019,43.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2019,88.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2019,43.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2019,89.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2020,71.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2020,6.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2020,76.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2020,86.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2020,90.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2020,27.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2020,17.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2020,36.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2020,13.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2020,61.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2020,49.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2020,89.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2020,53.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2020,90.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2021,73.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2021,7.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2021,79.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2021,88.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2021,88.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2021,28.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2021,21.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2021,37.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2021,21.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2021,63.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2021,51.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2021,90.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2021,61.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2021,94.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2022,76.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2022,14.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2022,84.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2022,90.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2022,90.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2022,35.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2022,29.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2022,41.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2022,35.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2022,68.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2022,57.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2022,90.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2022,71.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2022,95.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2023,81.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2023,25.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2023,88.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2023,92.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2023,93.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2023,46.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2023,38.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2023,44.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2023,46.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2023,71.6,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2023,66.8,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2023,92.9,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2023,82.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2023,97.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2024,81.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Low-income,2024,30.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Lower-middle-income,2024,88.7,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Upper-middle-income,2024,92.2,Population covered by at least an LTE/WiMAX mobile network (%),Rural
High-income,2024,93.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Least Developed Countries (LDCs),2024,49.1,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2024,43.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Small Island Developing States (SIDS),2024,45.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Africa,2024,49.4,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Americas,2024,72.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Arab States,2024,69.5,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Asia-Pacific,2024,94.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
CIS,2024,83.3,Population covered by at least an LTE/WiMAX mobile network (%),Rural
Europe,2024,97.0,Population covered by at least an LTE/WiMAX mobile network (%),Rural
World,2015,,Population covered by at least a 5G mobile network (%),Total
Low-income,2015,,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2015,,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2015,,Population covered by at least a 5G mobile network (%),Total
High-income,2015,,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2015,,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2015,,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2015,,Population covered by at least a 5G mobile network (%),Total
Africa,2015,,Population covered by at least a 5G mobile network (%),Total
Americas,2015,,Population covered by at least a 5G mobile network (%),Total
Arab States,2015,,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2015,,Population covered by at least a 5G mobile network (%),Total
CIS,2015,,Population covered by at least a 5G mobile network (%),Total
Europe,2015,,Population covered by at least a 5G mobile network (%),Total
World,2016,,Population covered by at least a 5G mobile network (%),Total
Low-income,2016,,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2016,,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2016,,Population covered by at least a 5G mobile network (%),Total
High-income,2016,,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2016,,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2016,,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2016,,Population covered by at least a 5G mobile network (%),Total
Africa,2016,,Population covered by at least a 5G mobile network (%),Total
Americas,2016,,Population covered by at least a 5G mobile network (%),Total
Arab States,2016,,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2016,,Population covered by at least a 5G mobile network (%),Total
CIS,2016,,Population covered by at least a 5G mobile network (%),Total
Europe,2016,,Population covered by at least a 5G mobile network (%),Total
World,2017,,Population covered by at least a 5G mobile network (%),Total
Low-income,2017,,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2017,,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2017,,Population covered by at least a 5G mobile network (%),Total
High-income,2017,,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2017,,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2017,,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2017,,Population covered by at least a 5G mobile network (%),Total
Africa,2017,,Population covered by at least a 5G mobile network (%),Total
Americas,2017,,Population covered by at least a 5G mobile network (%),Total
Arab States,2017,,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2017,,Population covered by at least a 5G mobile network (%),Total
CIS,2017,,Population covered by at least a 5G mobile network (%),Total
Europe,2017,,Population covered by at least a 5G mobile network (%),Total
World,2018,,Population covered by at least a 5G mobile network (%),Total
Low-income,2018,,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2018,,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2018,,Population covered by at least a 5G mobile network (%),Total
High-income,2018,,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2018,,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2018,,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2018,,Population covered by at least a 5G mobile network (%),Total
Africa,2018,,Population covered by at least a 5G mobile network (%),Total
Americas,2018,,Population covered by at least a 5G mobile network (%),Total
Arab States,2018,,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2018,,Population covered by at least a 5G mobile network (%),Total
CIS,2018,,Population covered by at least a 5G mobile network (%),Total
Europe,2018,,Population covered by at least a 5G mobile network (%),Total
World,2019,,Population covered by at least a 5G mobile network (%),Total
Low-income,2019,,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2019,,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2019,,Population covered by at least a 5G mobile network (%),Total
High-income,2019,,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2019,,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2019,,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2019,,Population covered by at least a 5G mobile network (%),Total
Africa,2019,,Population covered by at least a 5G mobile network (%),Total
Americas,2019,,Population covered by at least a 5G mobile network (%),Total
Arab States,2019,,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2019,,Population covered by at least a 5G mobile network (%),Total
CIS,2019,,Population covered by at least a 5G mobile network (%),Total
Europe,2019,,Population covered by at least a 5G mobile network (%),Total
World,2020,9.2,Population covered by at least a 5G mobile network (%),Total
Low-income,2020,0.0,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2020,0.5,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2020,1.7,Population covered by at least a 5G mobile network (%),Total
High-income,2020,47.3,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2020,0.03,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2020,0.3,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2020,8.0,Population covered by at least a 5G mobile network (%),Total
Africa,2020,0.1,Population covered by at least a 5G mobile network (%),Total
Americas,2020,35.1,Population covered by at least a 5G mobile network (%),Total
Arab States,2020,7.6,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2020,2.9,Population covered by at least a 5G mobile network (%),Total
CIS,2020,0.4,Population covered by at least a 5G mobile network (%),Total
Europe,2020,27.6,Population covered by at least a 5G mobile network (%),Total
World,2021,18.7,Population covered by at least a 5G mobile network (%),Total
Low-income,2021,0.0,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2021,2.4,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2021,17.6,Population covered by at least a 5G mobile network (%),Total
High-income,2021,65.7,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2021,0.06,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2021,0.8,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2021,11.3,Population covered by at least a 5G mobile network (%),Total
Africa,2021,0.9,Population covered by at least a 5G mobile network (%),Total
Americas,2021,41.4,Population covered by at least a 5G mobile network (%),Total
Arab States,2021,8.5,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2021,15.5,Population covered by at least a 5G mobile network (%),Total
CIS,2021,1.6,Population covered by at least a 5G mobile network (%),Total
Europe,2021,45.1,Population covered by at least a 5G mobile network (%),Total
World,2022,32.0,Population covered by at least a 5G mobile network (%),Total
Low-income,2022,0.5,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2022,5.5,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2022,47.5,Population covered by at least a 5G mobile network (%),Total
High-income,2022,74.6,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2022,0.6,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2022,1.7,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2022,21.4,Population covered by at least a 5G mobile network (%),Total
Africa,2022,1.9,Population covered by at least a 5G mobile network (%),Total
Americas,2022,47.3,Population covered by at least a 5G mobile network (%),Total
Arab States,2022,9.7,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2022,36.0,Population covered by at least a 5G mobile network (%),Total
CIS,2022,2.5,Population covered by at least a 5G mobile network (%),Total
Europe,2022,57.1,Population covered by at least a 5G mobile network (%),Total
World,2023,44.5,Population covered by at least a 5G mobile network (%),Total
Low-income,2023,0.9,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2023,26.8,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2023,58.1,Population covered by at least a 5G mobile network (%),Total
High-income,2023,79.0,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2023,1.4,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2023,2.8,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2023,22.5,Population covered by at least a 5G mobile network (%),Total
Africa,2023,5.9,Population covered by at least a 5G mobile network (%),Total
Americas,2023,54.4,Population covered by at least a 5G mobile network (%),Total
Arab States,2023,10.9,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2023,55.1,Population covered by at least a 5G mobile network (%),Total
CIS,2023,3.8,Population covered by at least a 5G mobile network (%),Total
Europe,2023,64.2,Population covered by at least a 5G mobile network (%),Total
World,2024,51.2,Population covered by at least a 5G mobile network (%),Total
Low-income,2024,3.5,Population covered by at least a 5G mobile network (%),Total
Lower-middle-income,2024,35.4,Population covered by at least a 5G mobile network (%),Total
Upper-middle-income,2024,65.2,Population covered by at least a 5G mobile network (%),Total
High-income,2024,83.8,Population covered by at least a 5G mobile network (%),Total
Least Developed Countries (LDCs),2024,5.7,Population covered by at least a 5G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2024,9.7,Population covered by at least a 5G mobile network (%),Total
Small Island Developing States (SIDS),2024,26.9,Population covered by at least a 5G mobile network (%),Total
Africa,2024,11.0,Population covered by at least a 5G mobile network (%),Total
Americas,2024,63.4,Population covered by at least a 5G mobile network (%),Total
Arab States,2024,12.7,Population covered by at least a 5G mobile network (%),Total
Asia-Pacific,2024,62.3,Population covered by at least a 5G mobile network (%),Total
CIS,2024,12.0,Population covered by at least a 5G mobile network (%),Total
Europe,2024,72.3,Population covered by at least a 5G mobile network (%),Total
World,2015,,Population covered by at least a 5G mobile network (%),Urban
Low-income,2015,,Population covered by at least a 5G mobile network (%),Urban
Lower-middle-income,2015,,Population covered by at least a 5G mobile network (%),Urban
Upper-middle-income,2015,,Population covered by at least a 5G mobile network (%),Urban
High-income,2015,,Population covered by at least a 5G mobile network (%),Urban
Least Developed Countries (LDCs),2015,,Population covered by at least a 5G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2015,,Population covered by at least a 5G mobile network (%),Urban
Small Island Developing States (SIDS),2015,,Population covered by at least a 5G mobile network (%),Urban
Africa,2015,,Population covered by at least a 5G mobile network (%),Urban
Americas,2015,,Population covered by at least a 5G mobile network (%),Urban
Arab States,2015,,Population covered by at least a 5G mobile network (%),Urban
Asia-Pacific,2015,,Population covered by at least a 5G mobile network (%),Urban
CIS,2015,,Population covered by at least a 5G mobile network (%),Urban
Europe,2015,,Population covered by at least a 5G mobile network (%),Urban
World,2016,,Population covered by at least a 5G mobile network (%),Urban
Low-income,2016,,Population covered by at least a 5G mobile network (%),Urban
Lower-middle-income,2016,,Population covered by at least a 5G mobile network (%),Urban
Upper-middle-income,2016,,Population covered by at least a 5G mobile network (%),Urban
High-income,2016,,Population covered by at least a 5G mobile network (%),Urban
Least Developed Countries (LDCs),2016,,Population covered by at least a 5G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2016,,Population covered by at least a 5G mobile network (%),Urban
Small Island Developing States (SIDS),2016,,Population covered by at least a 5G mobile network (%),Urban
Africa,2016,,Population covered by at least a 5G mobile network (%),Urban
Americas,2016,,Population covered by at least a 5G mobile network (%),Urban
Arab States,2016,,Population covered by at least a 5G mobile network (%),Urban
Asia-Pacific,2016,,Population covered by at least a 5G mobile network (%),Urban
CIS,2016,,Population covered by at least a 5G mobile network (%),Urban
Europe,2016,,Population covered by at least a 5G mobile network (%),Urban
World,2017,,Population covered by at least a 5G mobile network (%),Urban
Low-income,2017,,Population covered by at least a 5G mobile network (%),Urban
Lower-middle-income,2017,,Population covered by at least a 5G mobile network (%),Urban
Upper-middle-income,2017,,Population covered by at least a 5G mobile network (%),Urban
High-income,2017,,Population covered by at least a 5G mobile network (%),Urban
Least Developed Countries (LDCs),2017,,Population covered by at least a 5G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2017,,Population covered by at least a 5G mobile network (%),Urban
Small Island Developing States (SIDS),2017,,Population covered by at least a 5G mobile network (%),Urban
Africa,2017,,Population covered by at least a 5G mobile network (%),Urban
Americas,2017,,Population covered by at least a 5G mobile network (%),Urban
